Epochs,Discriminator Train Loss,Discriminator Validation Loss,Generator Train Loss,Generator Validation Loss
31.0,0.08378481013434273,0.6203457117080688,32.917266845703125,43.61150360107422
32.0,0.09547037737710136,0.6214937567710876,33.20689828055246,47.308753967285156
33.0,0.09676413876669747,0.6563409566879272,33.28076171875,43.98569869995117
34.0,0.12731560638972692,0.6733576059341431,32.84019906180246,44.13854217529297
35.0,0.11915257998875209,0.700925886631012,32.200980050223215,43.58369445800781
36.0,0.0888457979474749,0.6915928721427917,32.23221479143415,44.155731201171875
37.0,0.2650726522718157,0.9068342447280884,31.694713047572545,44.9813232421875
38.0,0.41643643379211426,0.7053751945495605,30.958668300083705,43.280372619628906
39.0,0.1525768552507673,0.7049517631530762,30.70456804547991,43.79888916015625
40.0,0.12852730069841659,0.7094094157218933,30.85481916155134,44.19905471801758
41.0,0.2017110926764352,0.6471717357635498,30.288872855050222,45.445411682128906
42.0,0.12672269344329834,0.6655409336090088,30.504728044782365,44.73797607421875
43.0,0.14169549942016602,0.6642658710479736,30.528104509626115,47.0926628112793
44.0,0.17809849125998362,0.7437607049942017,30.918099539620535,44.71144485473633
45.0,0.18702404839651926,0.6520307064056396,29.723050798688615,44.827850341796875
46.0,0.1696159839630127,0.7216804027557373,29.732203892299108,44.3999137878418
47.0,0.13577255180903844,0.6751274466514587,29.763665335518972,43.89189147949219
48.0,0.19274652004241943,0.6768759489059448,28.823682512555802,45.469417572021484
49.0,0.14527571201324463,0.6423711776733398,28.929744175502233,45.108367919921875
50.0,0.23718105043683732,0.7267416715621948,29.02455793108259,43.27644348144531
51.0,0.13775127274649485,0.7018028497695923,27.85831778390067,46.49974060058594
52.0,0.13477926594870432,0.7366392016410828,28.368318830217635,47.29383850097656
53.0,0.22348671300070627,0.7347751259803772,28.53729030064174,46.252685546875
54.0,0.1742070232118879,0.7308470606803894,28.513432094029017,44.280052185058594
55.0,0.22783248765128,0.7613294124603271,27.127825055803573,45.667877197265625
56.0,0.2964967318943569,0.7026268839836121,27.668794904436385,44.906211853027344
57.0,0.13578040259225027,0.6553582549095154,27.244598388671875,46.787445068359375
58.0,0.14020624331065587,0.7137898206710815,27.548987252371653,45.20641326904297
59.0,0.19976753847939627,0.7519699335098267,27.228530883789062,44.7415885925293
60.0,0.1348538569041661,0.6557726860046387,27.197392054966517,45.335784912109375
61.0,0.19213618550981795,0.6685779094696045,26.707107543945312,45.605812072753906
62.0,0.28235002926417757,0.9366699457168579,26.487357003348215,44.11165237426758
63.0,0.2781435421534947,0.7238591909408569,25.214717320033483,45.42415237426758
64.0,0.16636979579925537,0.7079095244407654,25.544747488839285,44.17797088623047
65.0,0.09640678337642125,0.7391569018363953,25.17474365234375,44.10388946533203
66.0,0.1636920997074672,0.7207728624343872,24.857147216796875,46.67121887207031
67.0,0.19000654561179026,0.6715333461761475,25.354413713727677,44.977378845214844
68.0,0.35788934571402414,0.868158757686615,25.453050885881698,46.51995086669922
69.0,0.17105541910443986,0.6578177213668823,23.83923121861049,43.92070007324219
70.0,0.1545436041695731,0.7990691661834717,23.743892124720983,45.283546447753906
71.0,0.28079613617488314,0.6795958876609802,24.18695068359375,46.32084655761719
